"nodes";"posoutlet";"Xnode";"Ynode";"width";"depth";"lengs";"vel"
1;1;5.5;0.5;1;1;0;1
2;1;6.5;13.5;0.638907759383152;0.698796192593231;4.24264068711929;0.914297711056734
3;1;7.5;23.5;0.327752765053172;0.409672763437485;4.24264068711929;0.800035526655621
4;1;8.5;3.5;0.98747033183281;0.989963642676127;4.24264068711929;0.997481411704598
5;1;17.5;22.5;0.350083695350126;0.431854557961039;4.82842712474619;0.810651847703111
6;1;29.5;19.5;0.342326598440729;0.424182273783949;4.82842712474619;0.807027119231032
7;1;5.5;10.5;0.653640645729747;0.711657843525573;3.41421356237309;0.918475994716214
8;1;4.5;20.5;0.375650477505353;0.456906310378172;3.82842712474619;0.822160843422002
9;1;15.5;18.5;0.397133282098089;0.477693165791572;5.24264068711929;0.831356424034264
10;1;27.5;15.5;0.398973291712616;0.479462956575537;4.24264068711929;0.832125373276381
11;1;4.5;7.5;0.694565961590402;0.747086342117626;5.65685424949238;0.929699718002669
12;1;4.5;17.5;0.4092437766784;0.489311775190063;4.82842712474619;0.836366090964063
13;1;11.5;17.5;0.434700866976361;0.513514138062348;2.82842712474619;0.846521711391678
14;1;24.5;12.5;0.444695295961178;0.522937791435857;4.41421356237309;0.850378961406014
15;1;9.5;15.5;0.460341245708007;0.537605757162131;3.82842712474619;0.856280349633937
16;1;20.5;11.5;0.494599743479513;0.569381181702688;4.24264068711929;0.868661907652888
17;1;19.5;8.5;0.54351647284144;0.614002541709574;3.82842712474619;0.885202317449894
18;1;19.5;5.5;0.605556949221128;0.669459014526709;3.82842712474619;0.904546710225782
19;1;16.5;3.5;0.648766859125834;0.70740956129184;5.24264068711929;0.917102191750257
20;1;12.5;2.5;0.664751480818208;0.721319130924813;5.24264068711929;0.921577499221351
