"nodes";"posoutlet";"Xnode";"Ynode";"width";"depth";"lengs";"vel"
1;2;4.5;24.5;0.188797593337415;0.263510037695711;4.24264068711929;0.716472112365714
2;2;6.5;0.5;1;1;0;1
3;2;6.5;6.5;0.970260918516252;0.976137126089389;3.82842712474619;0.993980141297689
4;2;7.5;7.5;0.670237830922725;0.726077786144893;1.4142135623731;0.923093701132699
5;2;7.5;21.5;0.606362747247883;0.670171584347012;4.82842712474619;0.904787313294845
6;2;7.5;27.5;0.204919953884438;0.281363267974315;4.24264068711929;0.728310967383078
7;2;9.5;6.5;0.17815241017174;0.251555236203409;2.41421356237309;0.708203943040506
8;2;10.5;24.5;0.542617354818292;0.61318983090527;4.24264068711929;0.88490925235536
9;2;11.5;10.5;0.635075044778174;0.695440594709915;5.24264068711929;0.913198121606748
10;2;13.5;25.5;0.475985819116494;0.552173056562408;4.24264068711929;0.862022899269619
11;2;13.5;26.5;0.176776695296637;0.25;1;0.707106781186547
12;2;15.5;15.5;0.198873782208716;0.274702129835955;2.82842712474619;0.723961559116701
13;2;17.5;9.5;0.534000234082346;0.605387093652541;2.82842712474619;0.88208063845648
14;2;20.5;12.5;0.387802301437214;0.468692825560497;4.24264068711929;0.827412497670414
15;2;20.5;13.5;0.173992636338438;0.246845204696894;1;0.70486536917777
16;2;26.5;4.5;0.230700360316147;0.309341807107703;4.82842712474619;0.745778149009856
17;2;26.5;14.5;0.234895255912077;0.313833569516297;2.41421356237309;0.748470777916187
18;2;26.5;26.5;0.262388369121042;0.342890666800764;5.24264068711929;0.765224587677395
19;2;6.5;3.5;0.983506561366013;0.986783341518444;3.82842712474619;0.996679331708834
20;2;5.5;17.5;0.633149987167338;0.69375365138146;4.24264068711929;0.912643826676164
21;2;13.5;13.5;0.241050759695961;0.320395792076271;3.82842712474619;0.752353075968546
22;2;15.5;7.5;0.562065804643905;0.630710021050618;5.24264068711928;0.891163586885193
23;2;22.5;4.5;0.30136408628103;0.383065638351105;2.82842712474619;0.786716573113273
24;2;24.5;13.5;0.317152861409132;0.399038599189513;4.41421356237309;0.794792438759811
25;2;22.5;25.5;0.344459495078884;0.426295284331049;4.82842712474619;0.808030273239866
26;2;4.5;14.5;0.664016542527368;0.720681077516623;5.65685424949238;0.921373632863355
27;2;20.5;6.5;0.338741927948106;0.420625079824979;4.24264068711929;0.805329839316895
28;2;18.5;25.5;0.392806409061767;0.47352493390081;2.41421356237309;0.829536907013325
29;2;2.5;10.5;0.688918990157769;0.742223199809753;5.65685424949238;0.928183045658439
30;2;16.5;24.5;0.41634101857732;0.496088729232895;4.24264068711929;0.839247082313501
