"nodes";"posoutlet";"Xnode";"Ynode";"width";"depth";"lengs";"vel"
1;3;13.5;4.5;0.531709360224174;0.603308500617736;5.24264068711929;0.881322506942549
2;3;18.5;20.5;0.601511767341255;0.665878974885855;4.41421356237309;0.903334975314945
3;3;22.5;0.5;1;1;0;1
4;3;17.5;1.5;0.543965474547788;0.61440829268197;2.41421356237309;0.885348523167403
5;3;20.5;17.5;0.657736411870287;0.715223059064191;4.82842712474619;0.919624169739269
6;3;19.5;2.5;0.56466596873727;0.633043117684106;3.82842712474619;0.891986585057613
7;3;20.5;13.5;0.719089593687741;0.768115277472213;4.82842712474619;0.936174054569243
8;3;22.5;9.5;0.762909725983356;0.805338610846449;5.24264068711929;0.947315471664152
9;3;25.5;5.5;0.792728180872864;0.830423131234738;2.41421356237309;0.954607538080224
10;3;24.5;3.5;0.809489615436789;0.844440443976751;3.82842712474619;0.95861066486185
