"nodes";"posoutlet";"Xnode";"Ynode";"width";"depth";"lengs";"vel"
1;1;2.5;0.5;1;1;0;1
2;1;2.5;6.5;0.116926793336686;0.179610297251759;1.4142135623731;0.651002727158734
3;1;3.5;5.5;0.605153647844909;0.669102302605726;2.82842712474619;0.904426192359856
4;1;3.5;28.5;0.139754248593737;0.207153376083749;2.41421356237309;0.674641423836782
5;1;4.5;20.5;0.400804854324396;0.481223002258148;5.41421356237309;0.832887980091582
6;1;4.5;26.5;0.291480595409025;0.372981866881798;2.82842712474619;0.781487308876061
7;1;5.5;3.5;0.992402781762526;0.993917593901294;4.82842712474619;0.998475917774207
8;1;5.5;11.5;0.547989934898443;0.618042108359769;2.41421356237309;0.886654691462305
9;1;6.5;9.5;0.581703452155821;0.648278043756089;5.24264068711928;0.897305496859746
10;1;8.5;23.5;0.160869220952922;0.231834661103165;5.24264068711928;0.693896331926552
11;1;10.5;9.5;0.136215591985646;0.202946449445979;4.82842712474619;0.671189825481052
12;1;11.5;3.5;0.761628600434621;0.804256529224191;2.82842712474619;0.946997099506684
13;1;11.5;29.5;0.157804764661907;0.228294836842104;3.82842712474619;0.691232297868611
14;1;13.5;5.5;0.125;0.1894645708138;2.82842712474619;0.659753955386447
15;1;13.5;19.5;0.190086329071819;0.264948037485863;5.65685424949238;0.71744758283768
16;1;16.5;2.5;0.731543744419977;0.778739565925648;2;0.939394601776049
17;1;16.5;23.5;0.14490028899212;0.213233483238087;4.24264068711929;0.679538160666499
18;1;17.5;1.5;0.116926793336686;0.179610297251759;1.4142135623731;0.651002727158734
19;1;18.5;12.5;0.121030729568982;0.184636058691424;1.4142135623731;0.655509711519875
20;1;18.5;28.5;0.130728129145949;0.196379087104751;2.82842712474619;0.665692722546455
21;1;19.5;6.5;0.712609640686961;0.762572877811887;5.24264068711929;0.934480705282504
22;1;19.5;11.5;0.58044298815646;0.6471540231282;2.82842712474619;0.896916294131536
23;1;19.5;20.5;0.412807650425716;0.492717729561602;5.82842712474619;0.837817731448417
24;1;21.5;15.5;0.550213026926844;0.620047120361332;4.82842712474619;0.887372925151572
25;1;21.5;23.5;0.351475683725062;0.43322771047336;3.82842712474619;0.811295480940099
26;1;22.5;7.5;0.356304820343481;0.437983105153935;3.41421356237309;0.813512704373043
27;1;22.5;28.5;0.132582521472478;0.198604470196652;3.82842712474619;0.667570681270157
28;1;24.5;5.5;0.288956906389171;0.370396149470298;2.82842712474619;0.780129347463269
29;1;24.5;18.5;0.316382136426822;0.398262635630959;4.24264068711929;0.794405771773153
30;1;24.5;25.5;0.274217637106004;0.355202740153306;3.82842712474619;0.772003157936368
31;1;25.5;3.5;0.153093108923949;0.22282530724575;2.41421356237309;0.687054405158319
32;1;25.5;10.5;0.160869220952922;0.231834661103165;4.24264068711929;0.693896331926552
33;1;25.5;28.5;0.128847050800552;0.194115218849858;1.4142135623731;0.66376583744426
34;1;26.5;20.5;0.229639663385923;0.30820346803448;2.82842712474619;0.745091107671223
35;1;26.5;27.5;0.210792774425501;0.287795882380415;2.82842712474619;0.732438465352574
36;1;27.5;5.5;0.21650635094611;0.294019755631168;3;0.736366678767344
37;1;27.5;23.5;0.139754248593737;0.207153376083749;3.41421356237309;0.674641423836782
38;1;28.5;15.5;0.163876382526586;0.235295214723864;5.24264068711928;0.696471378386962
39;1;28.5;19.5;0.132582521472478;0.198604470196652;2.41421356237309;0.667570681270157
40;1;29.5;3.5;0.125;0.1894645708138;2.82842712474619;0.659753955386447
41;1;29.5;7.5;0.148231765320393;0.217146595428618;2.82842712474619;0.682634535567106
42;1;29.5;28.5;0.136215591985646;0.202946449445979;3.41421356237309;0.671189825481052
43;1;3.5;15.5;0.43917091632985;0.517734203793643;5.65685424949238;0.848255558763302
44;1;2.5;24.5;0.322496366258598;0.404408113823814;4.82842712474619;0.797452759316046
45;1;9.5;1.5;0.771818064701779;0.81285288475211;4.82842712474619;0.949517531622165
46;1;8.5;27.5;0.209631372890605;0.286526650465462;4.41421356237309;0.731629579831612
47;1;9.5;15.5;0.268822664595082;0.34960103140635;5.65685424949238;0.768941280046234
48;1;14.5;2.5;0.738188238188607;0.784392977590572;4.24264068711929;0.941094909411489
49;1;18.5;26.5;0.175390190005029;0.248430114119147;4.24264068711929;0.705994080576364
50;1;17.5;9.5;0.598255928721145;0.662994016509798;3.82842712474619;0.902354944122341
