"nodes";"posoutlet";"Xnode";"Ynode";"width";"depth";"lengs";"vel"
1;28;2.5;8.5;0.148231765320393;0.217146595428618;2.82842712474619;0.682634535567106
2;28;3.5;5.5;0.14320549046737;0.211235902827214;1.4142135623731;0.677941053346923
3;28;3.5;21.5;0.148231765320393;0.217146595428618;2.41421356237309;0.682634535567106
4;28;3.5;24.5;0.149869735103522;0.219064069782331;2.82842712474619;0.684136541663076
5;28;4.5;6.5;0.236964857626611;0.31604371286262;5.41421356237309;0.749785070806382
6;28;4.5;14.5;0.17815241017174;0.251555236203409;4.24264068711929;0.708203943040506
7;28;5.5;22.5;0.240035804620894;0.319316104168742;3.82842712474619;0.751718442907119
8;28;5.5;29.5;0.14320549046737;0.211235902827214;2.82842712474619;0.677941053346923
9;28;8.5;4.5;0.139754248593737;0.207153376083749;1.4142135623731;0.674641423836782
10;28;8.5;24.5;0.348686150069084;0.430474824767443;3.41421356237309;0.810003582108329
11;28;9.5;5.5;0.332926183635352;0.414837837772192;3.41421356237309;0.802545364288053
12;28;11.5;23.5;0.423895623945329;0.503277073195838;2.82842712474619;0.842270881233608
13;28;12.5;11.5;0.197642353760524;0.273340518485819;5.65685424949238;0.723062774795962
14;28;13.5;21.5;0.537645329190164;0.608690749639407;4.82842712474619;0.883281583478423
15;28;13.5;26.5;0.20131404260508;0.277395400678523;3.82842712474619;0.725729561891279
16;28;16.5;7.5;0.466662016345877;0.54350302119725;3.41421356237309;0.858618992251222
17;28;20.5;28.5;0.186193363872078;0.260598168156306;2.82842712474619;0.71448454603257
18;28;21.5;5.5;0.14320549046737;0.211235902827214;1.4142135623731;0.677941053346923
19;28;22.5;6.5;0.5321683239352;0.603725078298673;2.41421356237309;0.881474603365618
20;28;22.5;9.5;0.160869220952922;0.231834661103165;2.82842712474619;0.693896331926552
21;28;24.5;7.5;0.572395596375444;0.639966185183478;5.82842712474619;0.89441537635514
22;28;25.5;17.5;0.745756222736358;0.790819753324208;3.82842712474619;0.943016685662661
23;28;25.5;23.5;0.347282980795201;0.429088426115635;3.41421356237309;0.809350613203471
24;28;26.5;20.5;0.391561377691927;0.472323852687268;3.41421356237309;0.829010382313225
25;28;27.5;21.5;0.153093108923949;0.22282530724575;1.4142135623731;0.687054405158319
26;28;27.5;27.5;0.204919953884438;0.281363267974315;5.65685424949238;0.728310967383078
27;28;29.5;7.5;0.981518673408713;0.985187409895408;3.82842712474619;0.996276102952752
28;28;31.5;0.5;1;1;0;1
29;28;7.5;15.5;0.25;0.329876977693224;4.24264068711929;0.757858283255199
30;28;7.5;27.5;0.210792774425501;0.287795882380415;4.24264068711929;0.732438465352574
31;28;12.5;4.5;0.386541152401656;0.467473061822893;5.24264068711928;0.826873640364118
32;28;17.5;19.5;0.580863446732535;0.647529021892892;5.65685424949238;0.897046197303285
33;28;19.5;6.5;0.499022481958478;0.573450703047375;3.82842712474619;0.87020990523967
34;28;22.5;26.5;0.230700360316147;0.309341807107703;4.24264068711929;0.745778149009856
35;28;28.5;15.5;0.76386916009877;0.806148743096136;4.82842712474619;0.947553620396423
36;28;31.5;4.5;0.991418254950957;0.993128691932478;4.82842712474619;0.998277728762228
37;28;10.5;18.5;0.291480595409025;0.372981866881798;4.24264068711929;0.781487308876061
38;28;21.5;19.5;0.613567309877246;0.676534222519773;5.65685424949238;0.906927232139115
39;28;31.5;12.5;0.769917812172182;0.811251464427519;2.41421356237309;0.9490495190853
40;28;30.5;10.5;0.779685934367166;0.819475095686571;4.24264068711929;0.951445551513595
