"nodes";"posoutlet";"Xnode";"Ynode";"width";"depth";"lengs";"vel"
1;2;15.5;4.5;0.535370053094119;0.606629127929884;4.24264068711929;0.882532718006905
2;2;23.5;0.5;1;1;0;1
3;2;23.5;22.5;0.570258987215458;0.638054404190129;4.82842712474619;0.893746651493264
4;2;18.5;1.5;0.549769127679974;0.619646896231321;2.82842712474619;0.887229696499181
5;2;23.5;18.5;0.621474431292229;0.683500147267907;5.24264068711929;0.90925281256543
6;2;20.5;1.5;0.559016994374947;0.627971607877395;3.41421356237309;0.890194695687722
7;2;22.5;14.5;0.68107795992823;0.735457296870196;4.82842712474619;0.926060510687184
8;2;22.5;10.5;0.756159602035179;0.799633125980199;4.24264068711929;0.945633162843611
9;2;23.5;7.5;0.783122755383854;0.822363592030193;3.82842712474619;0.952282862438665
10;2;23.5;4.5;0.809187961014003;0.844188691579995;4.82842712474619;0.958539209402955
