"nodes";"posoutlet";"Xnode";"Ynode";"width";"depth";"lengs";"vel"
1;9;7.5;19.5;0.30698254225607;0.38876838698297;5.82842712474619;0.789628355943246
2;9;8.5;8.5;0.28125;0.362471633424706;3.82842712474619;0.77592278695768
3;9;8.5;26.5;0.297285899850632;0.378912950644477;5.65685424949238;0.784575716784003
4;9;10.5;5.5;0.244070302372083;0.32360256202491;1.4142135623731;0.754228584733191
5;9;11.5;6.5;0.403233996892623;0.48355481538295;4.41421356237309;0.833895111918765
6;9;17.5;21.5;0.556390431711402;0.625610057890942;4.82842712474619;0.889356596323126
7;9;21.5;19.5;0.675318212030447;0.730477375756651;3.82842712474619;0.924488881439938
8;9;22.5;9.5;0.944246558108633;0.955142848599689;5.41421356237309;0.988591978145435
9;9;23.5;0.5;1;1;0;1
10;9;23.5;25.5;0.324006896145746;0.40592276023229;3.82842712474619;0.79819839607006
11;9;12.5;19.5;0.350780380010057;0.432541951572288;5.82842712474619;0.810974238995714
12;9;12.5;24.5;0.370414674722803;0.451804494627237;2.41421356237309;0.819856108400194
13;9;15.5;7.5;0.463512405443479;0.540566452183955;3.82842712474619;0.857456846555742
14;9;23.5;16.5;0.72819876235819;0.775889633126612;3.82842712474619;0.938533950278159
15;9;23.5;4.5;0.955044174371008;0.963870675951525;2.82842712474619;0.990842649537187
16;9;23.5;22.5;0.349385621484342;0.43116551920663;3.82842712474619;0.810328298346381
17;9;14.5;23.5;0.394047506653703;0.474721462656319;3.82842712474619;0.83006044101903
18;9;18.5;9.5;0.50919283552501;0.582781594705557;5.65685424949238;0.873728408980166
19;9;23.5;13.5;0.757772228311384;0.800997107460814;5.24264068711929;0.946036160746629
20;9;25.5;2.5;0.970260918516252;0.976137126089389;3.41421356237309;0.993980141297689
