"nodes";"posoutlet";"Xnode";"Ynode";"width";"depth";"lengs";"vel"
1;30;2.5;28.5;0.15625;0.22649364489928;4.82842712474619;0.689864830730607
2;30;3.5;2.5;0.128847050800552;0.194115218849858;2.41421356237309;0.66376583744426
3;30;3.5;6.5;0.149869735103522;0.219064069782331;3.82842712474619;0.684136541663076
4;30;3.5;12.5;0.148231765320393;0.217146595428618;2.41421356237309;0.682634535567106
5;30;3.5;21.5;0.163876382526586;0.235295214723864;2.82842712474619;0.696471378386962
6;30;5.5;3.5;0.219863238741723;0.297661109985497;2;0.738636091064888
7;30;5.5;19.5;0.296463530640786;0.378074181936437;2.82842712474619;0.7841411680701
8;30;7.5;7.5;0.163876382526586;0.235295214723864;4.24264068711929;0.696471378386962
9;30;7.5;17.5;0.383370129574541;0.464402573059071;2.41421356237309;0.825512501038139
10;30;8.5;29.5;0.148231765320393;0.217146595428618;3.82842712474619;0.682634535567106
11;30;9.5;24.5;0.128847050800552;0.194115218849858;2.82842712474619;0.66376583744426
12;30;10.5;4.5;0.327752765053172;0.409672763437485;1.4142135623731;0.800035526655621
13;30;10.5;13.5;0.163876382526586;0.235295214723864;2.82842712474619;0.696471378386962
14;30;11.5;3.5;0.363092188706945;0.444645114333621;4.24264068711929;0.816588728858751
15;30;11.5;22.5;0.272431183971292;0.353350291768291;1.4142135623731;0.770994648420832
16;30;12.5;5.5;0.118996454779124;0.182149179062436;2.41421356237309;0.653291194567143
17;30;12.5;21.5;0.502435474712923;0.576586190086501;4.24264068711929;0.871396997277278
18;30;15.5;18.5;0.573673742208932;0.641109153620683;5.82842712474619;0.894814461732596
19;30;15.5;29.5;0.128847050800552;0.194115218849858;3.41421356237309;0.66376583744426
20;30;16.5;9.5;0.139754248593737;0.207153376083749;3.82842712474619;0.674641423836782
21;30;18.5;3.5;0.456078734978951;0.533619705371268;5.24264068711928;0.85468870506128
22;30;18.5;24.5;0.116926793336686;0.179610297251759;1.4142135623731;0.651002727158734
23;30;19.5;23.5;0.37759518667483;0.458797623500369;3.41421356237309;0.823010336875746
24;30;20.5;10.5;0.15625;0.22649364489928;5.24264068711929;0.689864830730607
25;30;20.5;20.5;0.706761429868665;0.757562158088104;2.82842712474619;0.932941834967513
26;30;20.5;25.5;0.341612673579304;0.42347441764543;2.41421356237309;0.80669022577258
27;30;24.5;9.5;0.820572875343805;0.853677284727724;2.41421356237309;0.961221400667259
28;30;25.5;7.5;0.845195521018658;0.87410931737874;3.82842712474619;0.966921990436176
29;30;25.5;15.5;0.7806247497998;0.820264380953238;2.41421356237309;0.951674567281134
30;30;27.5;0.5;1;1;0;1
31;30;27.5;29.5;0.172583765893551;0.245244882113183;4.24264068711929;0.703720152716182
32;30;29.5;11.5;0.139754248593737;0.207153376083749;5.65685424949238;0.674641423836782
33;30;29.5;23.5;0.157804764661907;0.228294836842104;5.65685424949238;0.691232297868611
34;30;4.5;24.5;0.196403204530883;0.27196865631097;2.41421356237309;0.722153821675375
35;30;4.5;14.5;0.211947811972665;0.28905677304389;4.24264068711929;0.73323939010584
36;30;7.5;3.5;0.247052942200655;0.326762360184773;4.24264068711929;0.756063036333055
37;30;9.5;18.5;0.401413518083285;0.48180754317854;4.24264068711929;0.833140791933464
38;30;10.5;26.5;0.208463501001974;0.285248928508609;5.24264068711929;0.730812564632237
39;30;12.5;15.5;0.220970869120796;0.298860156184387;4.24264068711929;0.739378818314157
40;30;14.5;2.5;0.386541152401656;0.467473061822893;4.41421356237309;0.826873640364118
41;30;18.5;28.5;0.207289049397212;0.283962563357811;3.82842712474619;0.729987245311682
42;30;18.5;6.5;0.184877493221863;0.259123758945079;3.82842712474619;0.713471794228825
43;30;22.5;2.5;0.473929715253222;0.550264064517504;2.82842712474619;0.861276877436626
44;30;22.5;18.5;0.721800591403194;0.770431066663668;4.24264068711929;0.936878875522157
45;30;27.5;4.5;0.863767185067828;0.889441441964681;4.82842712474619;0.971134404486325
46;30;24.5;13.5;0.78964242303083;0.827836132285693;4.82842712474619;0.95386320098229
47;30;24.5;26.5;0.228574044348872;0.307058787137623;5.24264068711929;0.744398316946474
48;30;29.5;19.5;0.247052942200655;0.326762360184773;5.65685424949238;0.756063036333055
49;30;5.5;22.5;0.21650635094611;0.294019755631168;3.82842712474619;0.736366678767344
50;30;24.5;2.5;0.486135912065751;0.561572928440014;3.82842712474619;0.865668353024391
