"nodes";"posoutlet";"Xnode";"Ynode";"width";"depth";"lengs";"vel"
1;9;2.5;16.5;0.168286400222953;0.240347282713673;5.24264068711929;0.700180165645698
2;9;3.5;2.5;0.148231765320393;0.217146595428618;3.82842712474619;0.682634535567106
3;9;3.5;10.5;0.160869220952922;0.231834661103165;2.82842712474619;0.693896331926552
4;9;3.5;23.5;0.153093108923949;0.22282530724575;2.82842712474619;0.687054405158319
5;9;3.5;29.5;0.157804764661907;0.228294836842104;5.24264068711929;0.691232297868611
6;9;5.5;10.5;0.70468576773623;0.755781749178901;3.82842712474619;0.932393205448289
7;9;5.5;12.5;0.676040864149498;0.731102650834602;2.82842712474619;0.924686654299164
8;9;5.5;23.5;0.326259578403455;0.408178961611397;2.82842712474619;0.799305229048201
9;9;6.5;0.5;1;1;0;1
10;9;6.5;25.5;0.263317180411761;0.343861344415171;2.41421356237309;0.765765575829999
11;9;7.5;7.5;0.940360220208192;0.951996604108176;2.41421356237309;0.987776864066774
12;9;7.5;28.5;0.153093108923949;0.22282530724575;3.41421356237309;0.687054405158319
13;9;8.5;2.5;0.984002905864612;0.987181719964899;2.82842712474619;0.996779909882853
14;9;10.5;9.5;0.612372435695794;0.675480019260307;3.82842712474619;0.906573722737767
15;9;10.5;17.5;0.624609252853334;0.686256910573082;2.82842712474619;0.910168252195425
16;9;11.5;8.5;0.121030729568982;0.184636058691424;1.4142135623731;0.655509711519875
17;9;15.5;3.5;0.149869735103522;0.219064069782331;3.82842712474619;0.684136541663076
18;9;15.5;26.5;0.116926793336686;0.179610297251759;1.4142135623731;0.651002727158734
19;9;16.5;13.5;0.568114342584308;0.636133992040333;3.82842712474619;0.893073392858855
20;9;16.5;25.5;0.442493820578322;0.520865710640983;5.24264068711928;0.849535324630574
21;9;16.5;28.5;0.153093108923949;0.22282530724575;2.41421356237309;0.687054405158319
22;9;17.5;26.5;0.405046293650491;0.485292668187869;1.4142135623731;0.834643340405233
23;9;18.5;18.5;0.130728129145949;0.196379087104751;2.82842712474619;0.665692722546455
24;9;19.5;10.5;0.519634035884872;0.59232228383761;4.24264068711929;0.877282604527729
25;9;20.5;4.5;0.130728129145949;0.196379087104751;2.41421356237309;0.665692722546455
26;9;20.5;11.5;0.386541152401656;0.467473061822893;1.4142135623731;0.826873640364118
27;9;21.5;6.5;0.315609529323815;0.397484397620981;5.65685424949238;0.794017403482494
28;9;21.5;27.5;0.358354529411866;0.439997611016443;5.24264068711928;0.814446534343737
29;9;22.5;24.5;0.132582521472478;0.198604470196652;1.4142135623731;0.667570681270157
30;9;23.5;25.5;0.296463530640786;0.378074181936437;2.82842712474619;0.7841411680701
31;9;23.5;29.5;0.146575492494482;0.215203380775097;2.82842712474619;0.681102183276872
32;9;26.5;25.5;0.239016539699662;0.318230912255676;3;0.751078950833126
33;9;27.5;2.5;0.17815241017174;0.251555236203409;3.41421356237309;0.708203943040506
34;9;27.5;11.5;0.211947811972665;0.28905677304389;3.82842712474619;0.73323939010584
35;9;27.5;18.5;0.179517582704313;0.253096181705981;5.65685424949238;0.70928601725354
36;9;28.5;12.5;0.121030729568982;0.184636058691424;1.4142135623731;0.655509711519875
37;9;28.5;23.5;0.128847050800552;0.194115218849858;2.82842712474619;0.66376583744426
38;9;29.5;9.5;0.134411332297541;0.20079306484087;2.82842712474619;0.669402264485892
39;9;29.5;28.5;0.153093108923949;0.22282530724575;4.82842712474619;0.687054405158319
40;9;7.5;21.5;0.359714513538167;0.441332965739902;5.24264068711928;0.81506377602022
41;9;6.5;5.5;0.953509143899522;0.962631102863322;3.82842712474619;0.990523930780268
42;9;8.5;15.5;0.638907759383152;0.698796192593231;4.24264068711929;0.914297711056734
43;9;12.5;1.5;0.197642353760524;0.273340518485819;5.24264068711929;0.723062774795962
44;9;13.5;11.5;0.586301969977929;0.652374658819718;3.82842712474619;0.898719718878522
45;9;13.5;21.5;0.481594843981951;0.557372404413556;5.82842712474619;0.864045008630567
46;9;16.5;16.5;0.168286400222953;0.240347282713673;3.82842712474619;0.700180165645698
47;9;24.5;3.5;0.244070302372083;0.32360256202491;4.24264068711929;0.754228584733191
48;9;24.5;11.5;0.258639771206982;0.338966083888776;4.82842712474619;0.763025516416707
49;9;23.5;16.5;0.239016539699662;0.318230912255676;2.41421356237309;0.751078950833126
50;9;22.5;14.5;0.257694101601104;0.337974226228189;3.82842712474619;0.76246672557545
