"nodes";"posoutlet";"Xnode";"Ynode";"width";"depth";"lengs";"vel"
1;17;3.5;2.5;0.141490392783397;0.209209577187968;2.41421356237309;0.67630934819142
2;17;3.5;8.5;0.159344359799775;0.230074960709182;2.82842712474619;0.692575842710621
3;17;4.5;15.5;0.182217246713916;0.2561365668738;3.82842712474619;0.711406609910936
4;17;4.5;22.5;0.17815241017174;0.251555236203409;4.41421356237309;0.708203943040506
5;17;4.5;27.5;0.220970869120796;0.298860156184387;4.24264068711929;0.739378818314157
6;17;7.5;24.5;0.310147394394988;0.391971516834319;3.41421356237309;0.791249825752218
7;17;8.5;4.5;0.311717770988438;0.393558457409423;3.82842712474619;0.792049478596656
8;17;8.5;21.5;0.395901858103748;0.476507819751338;2.82842712474619;0.830840212255795
9;17;10.5;9.5;0.176776695296637;0.25;5.24264068711929;0.707106781186547
10;17;10.5;19.5;0.488640492847247;0.563886325306147;3.82842712474619;0.866558508192146
11;17;10.5;27.5;0.157804764661907;0.228294836842104;4.24264068711929;0.691232297868611
12;17;14.5;6.5;0.413398642353842;0.493281964330663;4.24264068711929;0.838057484860176
13;17;15.5;10.5;0.159344359799775;0.230074960709182;5.24264068711928;0.692575842710621
14;17;17.5;3.5;0.951715145802566;0.961181901420971;4.41421356237309;0.990150921896876
15;17;17.5;28.5;0.172583765893551;0.245244882113183;3.82842712474619;0.703720152716182
16;17;18.5;16.5;0.699469665174981;0.751302973501916;2.82842712474619;0.931008780538518
17;17;19.5;0.5;1;1;0;1
18;17;19.5;7.5;0.840851502942107;0.870513366184766;4.82842712474619;0.965926010564709
19;17;19.5;22.5;0.14320549046737;0.211235902827214;1.4142135623731;0.677941053346923
20;17;20.5;8.5;0.814300888799711;0.848453268530107;1.4142135623731;0.959747482864245
21;17;20.5;14.5;0.753572221986718;0.797443467920087;3.41421356237309;0.944985133494423
22;17;20.5;21.5;0.423319287004502;0.502729586294664;5.82842712474619;0.84204172291619
23;17;22.5;23.5;0.379529931296597;0.460677313438902;2.82842712474619;0.823852011429544
24;17;27.5;5.5;0.21875;0.29645477461271;3.82842712474619;0.737886580797276
25;17;27.5;20.5;0.188797593337415;0.263510037695711;3.82842712474619;0.716472112365714
26;17;28.5;12.5;0.192637937592781;0.267789445507241;5.24264068711929;0.719363443274958
27;17;28.5;27.5;0.173992636338438;0.246845204696894;2.82842712474619;0.70486536917777
28;17;5.5;1.5;0.179517582704313;0.253096181705981;4.24264068711929;0.70928601725354
29;17;5.5;6.5;0.207289049397212;0.283962563357811;3.82842712474619;0.729987245311682
30;17;7.5;15.5;0.248039185412305;0.327805500854428;5.24264068711928;0.756665720269457
31;17;11.5;4.5;0.341612673579304;0.42347441764543;3.82842712474619;0.80669022577258
32;17;13.5;19.5;0.51916399143238;0.591893608303239;2.41421356237309;0.877123834671317
33;17;20.5;26.5;0.240035804620894;0.319316104168742;3.82842712474619;0.751718442907119
34;17;19.5;11.5;0.762269432353154;0.80479784282915;3.41421356237309;0.94715640597831
35;17;24.5;3.5;0.25958199571619;0.339953607095595;2.82842712474619;0.763580648353571
36;17;24.5;18.5;0.243067956032876;0.322538949554956;5.65685424949238;0.753608072353012
37;17;24.5;11.5;0.253876200144874;0.333962413947455;5.24264068711929;0.760193930640404
38;17;26.5;25.5;0.256744948830547;0.33697798300669;4.82842712474619;0.761904224542319
39;17;15.5;18.5;0.536736376166177;0.607867359396235;3.82842712474619;0.882982722907332
40;17;22.5;1.5;0.28125;0.362471633424706;3.41421356237309;0.77592278695768
