"nodes";"posoutlet";"Xnode";"Ynode";"width";"depth";"lengs";"vel"
1;9;5.5;22.5;0.282116720082309;0.363364973154798;3.41421356237309;0.776400426361744
2;9;6.5;5.5;0.254836037973439;0.334972130493306;2.82842712474619;0.760767881191033
3;9;9.5;10.5;0.30458732327528;0.386339807836241;2.82842712474619;0.788392283417986
4;9;11.5;8.5;0.440835499364559;0.519303497903311;4.24264068711929;0.848897612175604
5;9;16.5;23.5;0.517751297680653;0.59060477904372;3.82842712474619;0.876645967069504
6;9;16.5;27.5;0.282116720082309;0.363364973154798;4.82842712474619;0.776400426361744
7;9;18.5;7.5;0.908671334284294;0.926244115985473;5.24264068711929;0.981027915429744
8;9;20.5;17.5;0.691042012109249;0.744052467018119;3.82842712474619;0.928754412815382
9;9;25.5;0.5;1;1;0;1
10;9;26.5;4.5;0.295638873881633;0.377232612648937;5.24264068711929;0.783704441155416
11;9;27.5;24.5;0.305387816963939;0.387151874160635;5.24264068711928;0.788806247228003
12;9;8.5;21.5;0.334389602484886;0.416295975122462;4.82842712474619;0.803249664824451
13;9;8.5;7.5;0.280380600701974;0.361574978866798;3.41421356237309;0.775442486592152
14;9;14.5;9.5;0.480071609241788;0.555961628707244;5.65685424949238;0.86349773878834
15;9;19.5;21.5;0.543067099905711;0.613596388139679;5.24264068711929;0.885055894074279
16;9;21.5;3.5;0.935153312965313;0.947777192234362;5.24264068711929;0.986680541194193
17;9;20.5;14.5;0.705378333768482;0.756375917381307;3.82842712474619;0.932576404878956
18;9;24.5;20.5;0.387802301437214;0.468692825560497;5.24264068711929;0.827412497670414
19;9;12.5;21.5;0.382094351894921;0.463165811365457;4.82842712474619;0.824962340740286
20;9;20.5;11.5;0.720107413862682;0.768984924466825;4.82842712474619;0.936438922208999
