"nodes";"posoutlet";"Xnode";"Ynode";"width";"depth";"lengs";"vel"
1;1;2.5;0.5;1;1;0;1
2;1;2.5;28.5;0.171163299220364;0.243628740057262;5.65685424949238;0.702557913241823
3;1;3.5;5.5;0.985490439451342;0.98837541083681;2.82842712474619;0.997081097573011
4;1;3.5;14.5;0.383370129574541;0.464402573059071;4.41421356237309;0.825512501038139
5;1;5.5;16.5;0.15625;0.22649364489928;2.82842712474619;0.689864830730607
6;1;9.5;28.5;0.141490392783397;0.209209577187968;4.24264068711929;0.67630934819142
7;1;10.5;5.5;0.85923294280422;0.885704264123133;4.24264068711929;0.970112686151376
8;1;11.5;14.5;0.134411332297541;0.20079306484087;2.82842712474619;0.669402264485892
9;1;12.5;25.5;0.25194555463433;0.331929124166742;2.41421356237309;0.759034192214379
10;1;13.5;11.5;0.757127589974107;0.800451933208745;2.82842712474619;0.945875146979826
11;1;13.5;12.5;0.726856459350813;0.774745252046791;1;0.938187691283734
12;1;13.5;28.5;0.169730945175003;0.241996354521061;3.41421356237309;0.70137810757902
13;1;14.5;20.5;0.371730539167822;0.453088034649051;5.82842712474619;0.82043777531171
14;1;15.5;21.5;0.128847050800552;0.194115218849858;1.4142135623731;0.66376583744426
15;1;16.5;15.5;0.706415909716082;0.757265859189581;4.24264068711929;0.932850598166517
16;1;17.5;14.5;0.58044298815646;0.6471540231282;1.4142135623731;0.896916294131536
17;1;18.5;6.5;0.137996263536373;0.20506609523831;2.82842712474619;0.672935540007263
18;1;18.5;13.5;0.128847050800552;0.194115218849858;1.4142135623731;0.66376583744426
19;1;19.5;15.5;0.562065804643905;0.630710021050618;2.41421356237309;0.891163586885193
20;1;21.5;17.5;0.472898310950674;0.549305832397005;2.82842712474619;0.860901674550019
21;1;21.5;28.5;0.157804764661907;0.228294836842104;5.24264068711929;0.691232297868611
22;1;22.5;24.5;0.291480595409025;0.372981866881798;1.4142135623731;0.781487308876061
23;1;23.5;23.5;0.373041762072291;0.454366143562417;3.82842712474619;0.821015754271414
24;1;25.5;10.5;0.125;0.1894645708138;1.4142135623731;0.659753955386447
25;1;26.5;11.5;0.25194555463433;0.331929124166742;3.82842712474619;0.759034192214379
26;1;27.5;2.5;0.166829347687989;0.23868106188928;5.24264068711928;0.698963488629769
27;1;27.5;29.5;0.168286400222953;0.240347282713673;3.82842712474619;0.700180165645698
28;1;28.5;18.5;0.163876382526586;0.235295214723864;3.82842712474619;0.696471378386962
29;1;28.5;25.5;0.153093108923949;0.22282530724575;2.82842712474619;0.687054405158319
30;1;29.5;8.5;0.160869220952922;0.231834661103165;4.82842712474619;0.693896331926552
31;1;2.5;24.5;0.225346954716499;0.303585730726528;2.82842712474619;0.742284409010953
32;1;1.5;3.5;0.992156741649222;0.993720456476588;4.24264068711929;0.998426403706218
33;1;2.5;10.5;0.405648593304599;0.485869882542165;2.41421356237309;0.834891414100762
34;1;7.5;4.5;0.879452954966893;0.902339751221783;5.24264068711929;0.974636165342488
35;1;11.5;23.5;0.30458732327528;0.386339807836241;4.24264068711929;0.788392283417986
36;1;11.5;9.5;0.776233896773389;0.81657124591264;5.24264068711928;0.950601555784433
37;1;16.5;8.5;0.186193363872078;0.260598168156306;4.24264068711929;0.71448454603257
38;1;21.5;20.5;0.396518048139048;0.477101044952282;3.82842712474619;0.831098678852624
39;1;23.5;13.5;0.282980785566794;0.364255030535859;4.82842712474619;0.776875435736601
40;1;23.5;3.5;0.25194555463433;0.331929124166742;3.82842712474619;0.759034192214379
41;1;24.5;27.5;0.209631372890605;0.286526650465462;3.82842712474619;0.731629579831612
42;1;25.5;16.5;0.219863238741723;0.297661109985497;5.24264068711929;0.738636091064888
43;1;26.5;23.5;0.190086329071819;0.264948037485863;3.82842712474619;0.71744758283768
44;1;2.5;22.5;0.270632938682637;0.351483160356905;3.82842712474619;0.769974124529408
45;1;1.5;8.5;0.417512162996481;0.497204791834667;3.82842712474619;0.839718703144184
46;1;20.5;1.5;0.275106513463422;0.356123553589855;3.82842712474619;0.772502999844431
47;1;2.5;19.5;0.3125;0.394348340300121;5.41421356237309;0.792446596230557
48;1;17.5;1.5;0.295638873881633;0.377232612648937;4.24264068711929;0.783704441155416
49;1;14.5;2.5;0.318688719599549;0.400583773291424;2.82842712474619;0.795560731232375
50;1;12.5;2.5;0.339461890350007;0.421340125487836;3.82842712474619;0.805671878406954
