"nodes";"posoutlet";"Xnode";"Ynode";"width";"depth";"lengs";"vel"
1;20;1.5;9.5;0.165359456941537;0.236997208079966;2.82842712474619;0.697727447007486
2;20;2.5;19.5;0.192637937592781;0.267789445507241;5.24264068711928;0.719363443274958
3;20;3.5;27.5;0.182217246713916;0.2561365668738;2.41421356237309;0.711406609910936
4;20;5.5;3.5;0.157804764661907;0.228294836842104;2.41421356237309;0.691232297868611
5;20;6.5;22.5;0.34375;0.425592695470144;3.82842712474619;0.807697133101089
6;20;7.5;4.5;0.320978727877721;0.40288490994976;5.24264068711929;0.796700794571202
7;20;8.5;12.5;0.183552189444855;0.25763665705988;5.65685424949238;0.712445936612948
8;20;13.5;23.5;0.491629147579759;0.566643744426432;2.82842712474619;0.867615944613305
9;20;13.5;27.5;0.15625;0.22649364489928;1.4142135623731;0.689864830730607
10;20;14.5;26.5;0.244070302372083;0.32360256202491;3.41421356237309;0.754228584733191
11;20;16.5;27.5;0.163876382526586;0.235295214723864;2.41421356237309;0.696471378386962
12;20;18.5;19.5;0.569402098696519;0.637287280886325;5.65685424949238;0.893477895721702
13;20;19.5;22.5;0.166829347687989;0.23868106188928;4.24264068711929;0.698963488629769
14;20;21.5;9.5;0.811898816047911;0.84645042323197;3.82842712474619;0.959180589629654
15;20;22.5;15.5;0.711924109368407;0.761985944523045;3;0.9343008417485
16;20;23.5;4.5;0.974027960969294;0.979167836267309;3.82842712474619;0.994750771923219
17;20;23.5;6.5;0.852959003997261;0.880526693781672;2.82842712474619;0.96869181822755
18;20;23.5;16.5;0.408646775956938;0.488740649345877;1.4142135623731;0.836121931956886
19;20;24.5;27.5;0.214239206262533;0.291554104982406;5.82842712474619;0.734818006679965
20;20;25.5;0.5;1;1;0;1
21;20;25.5;1.5;0.997066008346489;0.997652117203108;1;0.999412511789919
22;20;26.5;2.5;0.190086329071819;0.264948037485863;1.4142135623731;0.71744758283768
23;20;26.5;22.5;0.326259578403455;0.408178961611397;2.41421356237309;0.799305229048201
24;20;27.5;11.5;0.17815241017174;0.251555236203409;2.41421356237309;0.708203943040506
25;20;27.5;17.5;0.168286400222953;0.240347282713673;5.24264068711929;0.700180165645698
26;20;29.5;26.5;0.184877493221863;0.259123758945079;5.24264068711928;0.713471794228825
27;20;3.5;7.5;0.230700360316147;0.309341807107703;5.24264068711928;0.745778149009856
28;20;4.5;25.5;0.220970869120796;0.298860156184387;3.82842712474619;0.739378818314157
29;20;9.5;24.5;0.387802301437214;0.468692825560497;4.41421356237309;0.827412497670414
30;20;11.5;3.5;0.370414674722803;0.451804494627237;5.24264068711928;0.819856108400194
31;20;12.5;12.5;0.25;0.329876977693224;5.24264068711929;0.757858283255199
32;20;15.5;21.5;0.518693521021807;0.591464466563542;3.82842712474619;0.876964805739658
33;20;22.5;12.5;0.720107413862682;0.768984924466825;3.41421356237309;0.936438922208999
34;20;25.5;20.5;0.350780380010057;0.432541951572288;4.82842712474619;0.810974238995714
35;20;26.5;9.5;0.229639663385923;0.30820346803448;4.24264068711929;0.745091107671223
36;20;15.5;2.5;0.40625;0.486446070127467;4.24264068711929;0.835138826167405
37;20;16.5;13.5;0.316382136426822;0.398262635630959;2.82842712474619;0.794405771773153
38;20;18.5;3.5;0.436382501367779;0.515102742191761;2.41421356237309;0.847175651814574
39;20;18.5;11.5;0.345874119080916;0.427695275439501;3.82842712474619;0.808692868364035
40;20;20.5;4.5;0.449609205310567;0.527555500507861;3.82842712474619;0.852250056871255
