"nodes";"posoutlet";"Xnode";"Ynode";"width";"depth";"lengs";"vel"
1;6;3.5;25.5;0.203725075162583;0.280050007969849;2.41421356237309;0.727459629940509
2;6;5.5;6.5;0.230700360316147;0.309341807107703;2.41421356237309;0.745778149009856
3;6;6.5;14.5;0.220970869120796;0.298860156184387;3.41421356237309;0.739378818314157
4;6;7.5;21.5;0.546204946654642;0.616431045608182;2.41421356237309;0.886076310637058
5;6;9.5;15.5;0.669873472194563;0.725761997150114;5.24264068711928;0.922993315749501
6;6;10.5;0.5;1;1;0;1
7;6;10.5;3.5;0.800390529679106;0.836838308751871;3;0.956445852572014
8;6;10.5;16.5;0.618718433538229;0.681074223857274;1.4142135623731;0.908444941630749
9;6;13.5;19.5;0.237992909558247;0.317140140873461;4.24264068711929;0.750434520533325
10;6;19.5;5.5;0.557267328128969;0.626398725388691;4.82842712474619;0.889636752985368
11;6;23.5;5.5;0.33729739288942;0.419189492019239;4.82842712474619;0.804641813096641
12;6;25.5;3.5;0.219863238741723;0.297661109985497;2.82842712474619;0.738636091064888
13;6;26.5;8.5;0.207289049397212;0.283962563357811;4.24264068711929;0.729987245311682
14;6;26.5;27.5;0.224260938975114;0.302414707734324;5.24264068711929;0.741567566786901
15;6;27.5;18.5;0.243067956032876;0.322538949554956;3.82842712474619;0.753608072353012
16;6;4.5;23.5;0.26791294061691;0.348654241549289;3.82842712474619;0.768420138606102
17;6;7.5;5.5;0.288956906389171;0.370396149470298;3.82842712474619;0.780129347463269
18;6;8.5;19.5;0.559453555936505;0.628363906309419;3.82842712474619;0.890333690905885
19;6;12.5;11.5;0.703992520379301;0.755186879478701;5.24264068711928;0.932209681483424
20;6;15.5;3.5;0.578336110103805;0.645274120685965;2.82842712474619;0.896264225642582
21;6;22.5;26.5;0.292316983341714;0.373837822648389;5.24264068711928;0.781935282178902
22;6;24.5;16.5;0.300552875963615;0.382240508751155;3.82842712474619;0.786292580411145
23;6;11.5;7.5;0.732877462472411;0.779875169702388;5.24264068711928;0.939736884753092
24;6;13.5;1.5;0.587134194626748;0.653115362795359;3.41421356237309;0.898974711165561
25;6;18.5;27.5;0.341612673579304;0.42347441764543;4.82842712474619;0.80669022577258
26;6;21.5;14.5;0.357672598195612;0.43932764823356;5.24264068711929;0.814136327712894
27;6;14.5;29.5;0.385275875185561;0.466248505262171;5.24264068711929;0.826331603934947
28;6;22.5;10.5;0.393427447250443;0.474123764460415;2.82842712474619;0.829799045610359
29;6;11.5;25.5;0.45177600921253;0.529588482863976;5.65685424949238;0.85306992850252
30;6;20.5;8.5;0.410435173017616;0.490451036969633;3.41421356237309;0.836852493071654
